dong_code_x,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,amount_growth_24_vs_23,avg_living_pop,avg_work_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,year_month,dong_code_y,store_count,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason
47190583,형곡2동,패스트푸드,988695000,41195625.0,98044,89557,-0.04547790847089058,12458.68742171004,788.2809051721521,17.18509709814436,4365.696126727957,0.5904785498531641,202301,47190583,2,음식점,2,494347500.0,2182.8480633639783,0.004672921480608821,0.28605967258631,0.2524968512774992,0.08928410008709721,0.07402857796593185,0.1311,낮음,특징 약함
47190583,형곡2동,한식,46512348000,1938014500.0,1234945,1132064,0.03933816710855212,12458.68742171004,788.2809051721521,17.18509709814436,4365.696126727957,0.625634399054854,202301,47190583,13,음식점,13,3577872923.076923,335.8227789790736,0.22053022913453466,0.28605967258631,0.2749329920557775,0.16746557466294537,0.5372814324764275,0.2873,낮음,특징 약함
47190590,신평1동,양식,635979000,26499125.0,63980,51470,-0.029151546516348357,5792.605665330579,905.3291457073136,16.53673715423881,2032.3730040119738,0.679290949588363,202301,47190590,4,음식점,4,158994750.0,508.09325100299344,0.0030004650517176223,0.11854311209742541,0.25681561458630314,0.28678990721701725,0.023646921455889484,0.1014,낮음,특징 약함
47190590,신평1동,일식,2643941000,110164208.33333333,37785,34375,-0.10922879986269433,5792.605665330579,905.3291457073136,16.53673715423881,2032.3730040119738,0.6693631406441919,202301,47190590,2,음식점,2,1321970500.0,1016.1865020059869,0.012521521527378577,0.11854311209742541,0.23563302016723375,0.26471190995090993,0.19836636170502686,0.1256,낮음,특징 약함
47190590,신평1동,중식,1621201000,67550041.66666667,71539,60345,-0.2705381469209581,5792.605665330579,905.3291457073136,16.53673715423881,2032.3730040119738,0.6925297406422565,202301,47190590,3,음식점,3,540400333.3333334,677.4576680039912,0.007672044644889025,0.11854311209742541,0.1929623448886838,0.3162310451698216,0.08094731660849325,0.105,낮음,특징 약함
47190590,신평1동,패스트푸드,2610870000,108786250.0,239258,195452,0.033913753400411945,5792.605665330579,905.3291457073136,16.53673715423881,2032.3730040119738,0.6722431533912004,202301,47190590,2,음식점,2,1305435000.0,1016.1865020059869,0.012364710363269603,0.11854311209742541,0.2734980882505258,0.2711166377123302,0.19588215401261402,0.1315,낮음,특징 약함
47190590,신평1동,한식,36510914000,1521288083.3333333,1148756,1013649,0.019952604500746717,5792.605665330579,905.3291457073136,16.53673715423881,2032.3730040119738,0.6480644489138917,202301,47190590,7,음식점,7,5215844857.142858,290.3390005731391,0.1731069123827258,0.11854311209742541,0.2698049876207283,0.21734672993610746,0.7833618339498005,0.2699,낮음,공급 대비 소비 부족
47190600,신평2동,양식,81911000,3412958.3333333335,3154,2730,2.7803326524657135,1082.9253183584117,89.03443281011835,7.242610454834213,381.19664456189435,0.6784139299416231,202301,47190600,2,음식점,2,40955500.0,190.59832228094717,0.0003732675652330602,0.0,1.0,0.28483954359983515,0.0059133172191476666,0.1795,낮음,소비 성장률 높음
47190600,신평2동,일식,508080000,21170000.0,6629,5654,0.3869434082815774,1082.9253183584117,89.03443281011835,7.242610454834213,381.19664456189435,0.6346334550260974,202301,47190600,2,음식점,2,254040000.0,190.59832228094717,0.002394012538084117,0.0,0.3668839585788692,0.18747816094939984,0.03792602648309175,0.0803,낮음,특징 약함
47190600,신평2동,한식,2863685000,119320208.33333333,93841,83053,0.16708275095406777,1082.9253183584117,89.03443281011835,7.242610454834213,381.19664456189435,0.640863521240914,202301,47190600,3,음식점,3,954561666.6666666,127.06554818729812,0.01356347104344892,0.0,0.3087248817092434,0.20133291839204243,0.14316876562222924,0.0927,낮음,특징 약함
47190610,비산동,양식,637319000,26554958.333333332,64485,55268,-0.11240803705765973,9686.550509186078,2769.2505243200817,16.606473821848954,3395.274620361681,0.6359175350180666,202301,47190610,5,음식점,5,127463800.0,679.0549240723362,0.003006818865025536,0.21639007929753343,0.23479202613648575,0.19033376732857019,0.018909875189427314,0.1122,낮음,특징 약함
47190610,비산동,일식,194900000,8120833.333333333,3145,2790,2.401436281926786,9686.550509186078,2769.2505243200817,16.606473821848954,3395.274620361681,0.6377995023068942,202301,47190610,1,음식점,1,194900000.0,3395.274620361681,0.000909022051686716,0.21639007929753343,0.8997716853590138,0.19451898774238915,0.02904113984952782,0.2132,낮음,소비 성장률 높음
47190610,비산동,중식,979056000,40794000.0,42079,36769,-0.23775770644414607,9686.550509186078,2769.2505243200817,16.606473821848954,3395.274620361681,0.6776119355482949,202301,47190610,4,음식점,4,244764000.0,848.8186550904203,0.004627216699657341,0.21639007929753343,0.20163365598492586,0.2830560251897907,0.03653244839021148,0.1197,낮음,특징 약함
