dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,avg_living_pop,avg_work_pop,avg_time_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,amount_growth_24_vs_23,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason
47190582,형곡1동,양식,789219000,65768250.0,60629,53203,0.0,0.0,0.0,605798.9775,90869.846625,0.6411860536847692,2.0,0,음식점,2.0,394609500.0,45434.9233125,0.008184300893811178,0.4513939199272924,0,0.15570011784761068,0.031533447367298434,0.1594,낮음,특징 약함
47190582,형곡1동,일식,1625491000,135457583.33333334,35968,33286,0.0,0.0,0.0,605798.9775,90869.846625,0.6082213817913736,2.0,0,음식점,2.0,812745500.0,45434.9233125,0.016898338835979788,0.4513939199272924,0,0.07813326494068769,0.06552584737470442,0.1607,낮음,특징 약함
47190582,형곡1동,제과점/아이스크림,4246663000,353888583.3333333,464512,409203,0.0,0.0,0.0,605798.9775,90869.846625,0.6280318130345038,5.0,0,카페,5.0,849332600.0,18173.969325000002,0.04421121342815791,0.4513939199272924,0,0.12474779856104062,0.06850019863436864,0.1781,낮음,특징 약함
47190582,형곡1동,중식,269735000,22477916.666666668,16063,13464,0.0,0.0,0.0,605798.9775,90869.846625,0.6088025334889838,5.0,0,음식점,5.0,53947000.0,18173.969325000002,0.0027712256188414082,0.4513939199272924,0,0.07950073216107795,0.0038392618211533012,0.1452,낮음,특징 약함
47190582,형곡1동,패스트푸드,1667066000,138922166.66666666,182521,159299,0.0,0.0,0.0,605798.9775,90869.846625,0.6218659296011549,23.0,0,음식점,23.0,72481130.43478261,3950.8628967391305,0.01733155449720683,0.4513939199272924,0,0.11023929154897395,0.005345995456928666,0.155,낮음,특징 약함
47190582,형곡1동,한식,13177643000,1098136916.6666667,483937,444411,0.0,0.0,0.0,605798.9775,90869.846625,0.6219456883401633,70.0,0,음식점,70.0,188252042.85714287,1298.1406660714285,0.13727291892678636,0.4513939199272924,0,0.11042696623285093,0.014757601164840053,0.2104,낮음,특징 약함
47190583,형곡2동,양식,414408000,34534000.0,32721,28375,0.0,0.0,0.0,374242.2575,56136.338625000004,0.627758677631846,1.0,0,음식점,1.0,414408000.0,56136.338625000004,0.004278732759110794,0.2631432851922966,0,0.12410510283908266,0.033142968029347686,0.0983,낮음,특징 약함
47190583,형곡2동,일식,999640000,83303333.33333333,13599,12926,0.0,0.0,0.0,374242.2575,56136.338625000004,0.6290085872077981,2.0,0,음식점,2.0,499820000.0,28068.169312500002,0.010376908774774622,0.2631432851922966,0,0.12704617722739628,0.04008654349147618,0.1023,낮음,특징 약함
47190583,형곡2동,제과점/아이스크림,3435629000,286302416.6666667,305978,276435,0.0,0.0,0.0,374242.2575,56136.338625000004,0.6027603223877033,0.0,0,카페,0.5,6871258000.0,112272.67725000001,0.035760157972051794,0.2631432851922966,0,0.06528322982277909,0.5580531120681755,0.1853,낮음,특징 약함
47190583,형곡2동,중식,868561000,72380083.33333333,44081,40798,0.0,0.0,0.0,374242.2575,56136.338625000004,0.5808483523327391,2.0,0,음식점,2.0,434280500.0,28068.169312500002,0.009011052475123887,0.2631432851922966,0,0.013723712905675294,0.03475850452739419,0.0896,낮음,특징 약함
