dong_key,dong,total_amount,total_count,total_customer,avg_total_demand_pop,store_count,category_count,avg_location_score,external_ratio,sales_shortage,amount_growth_24_vs_23,consumption_activation,map_name
도량동,도량동,3650073000,209950,189574,15006.15911625,1.0,1,0.2173,0.6266428222691146,3650073000.0,0.0109409527923147,243238.32445888015,양식
무을면,무을면,3700000,244,193,813.46340425,0.0,1,0.0752,0.7182252441811422,7400000.0,0.0,4548.452924457419,양식
비산동,비산동,637319000,64485,55268,5397.620741666667,0.0,1,0.1039,0.6359175350180666,1274638000.0,-0.1124080370576597,118074.0608691247,양식
산동읍,산동읍,5276507000,306762,248872,7843.762968958334,4.0,1,0.1422,0.6579149557551532,1319126750.0,-0.0596625843575879,672700.9753968547,양식
상모사곡동,상모사곡동,2776776000,213260,185753,16036.0337275,5.0,1,0.2181,0.6738086083016475,555355200.0,0.0372112678536317,173158.52829856178,양식
선산읍,선산읍,1241330000,108103,94618,5418.59984525,3.0,1,0.1014,0.6163407353102758,413776666.6666667,0.0439471777646051,229086.85554408722,양식
선주원남동,선주원남동,15967067000,577848,485796,23355.1182575,8.0,1,0.3402,0.6856720000706802,1995883375.0,0.5216256086296183,683664.5751032546,양식
송정동,송정동,3689525000,203153,174573,11153.684302375,6.0,1,0.1693,0.6553821964958195,614920833.3333334,0.028242375932823,330789.80003175937,양식
신평1동,신평1동,635979000,63980,51470,3603.8130665833337,2.0,1,0.0943,0.679290949588363,317989500.0,-0.0291515465163483,176473.91478131036,양식
신평2동,신평2동,81911000,3154,2730,714.2547674958333,0.0,1,0.1764,0.6784139299416231,163822000.0,2.780332652465713,114680.3685849781,양식
양포동,양포동,5267766000,260611,220381,25957.22364333333,7.0,1,0.3218,0.6659304483180543,752538000.0,0.1997979670591929,202940.27097743697,양식
옥성면,옥성면,3785000,289,283,759.8854336708333,0.0,1,0.0074,0.5993759535346119,7570000.0,-1.0,4981.014021699992,양식
원평동,원평동,5969341000,331402,281416,7439.65179575,8.0,1,0.122,0.6908893357777272,746167625.0,-0.6043720009389382,802368.3317289212,양식
인동동,인동동,6816740000,338720,283674,27188.273249583333,15.0,1,0.3297,0.6918366665419633,454449333.3333333,-0.0631906379525692,250723.53574732694,양식
